nome_via,nome_normalizado,highway_tag,osm_way_id,lat_ref,lon_ref,regra_inclusao,duplicado,osm_way_id_canonico
Rua Rosa Barbieri Paiotti,rua rosa barbieri paiotti,residential,130058032,-23.1933323,-45.9352005,inside_urbanova_boundary,sim,130058030
Rua Rosa Barbieri Paiotti,rua rosa barbieri paiotti,residential,417026710,-23.1930318,-45.9343893,inside_urbanova_boundary,sim,130058030
Rua Rui Sérgio Rodrigues de Moura,rua rui sergio rodrigues de moura,residential,130058031,-23.1930767,-45.9341864,inside_urbanova_boundary,nao,130058031
Rua Rui Sérgio Rodrigues de Moura,rua rui sergio rodrigues de moura,residential,130058215,-23.1932389,-45.9346636,inside_urbanova_boundary,sim,130058031
Rua Rui Sérgio Rodrigues de Moura,rua rui sergio rodrigues de moura,residential,408648424,-23.1976819,-45.9421174,inside_urbanova_boundary,sim,130058031
Rua Rui Sérgio Rodrigues de Moura,rua rui sergio rodrigues de moura,residential,797947501,-23.1931858,-45.9344989,inside_urbanova_boundary,sim,130058031
Rua Rui Sérgio Rodrigues de Moura,rua rui sergio rodrigues de moura,residential,845673514,-23.1931514,-45.9344072,inside_urbanova_boundary,sim,130058031
Rua Rui Sérgio Rodrigues de Moura,rua rui sergio rodrigues de moura,residential,845673515,-23.1934138,-45.9351575,inside_urbanova_boundary,sim,130058031
Rua Severino A de Oliveira,rua severino a de oliveira,residential,129961924,-23.1953221,-45.9338054,inside_urbanova_boundary,nao,129961924
Rua Tânia Maria de Carvalho,rua tania maria de carvalho,residential,130057745,-23.1967097,-45.9423866,inside_urbanova_boundary,nao,130057745
Rua Tânia Maria de Carvalho,rua tania maria de carvalho,residential,408648425,-23.1976819,-45.9421174,inside_urbanova_boundary,sim,130057745
Rua Tânia Maria de Carvalho,rua tania maria de carvalho,tertiary_link,845969073,-23.1967097,-45.9423866,inside_urbanova_boundary,nao,845969073
Rua Vera Lucia Cardoso Silva Barros,rua vera lucia cardoso silva barros,residential,130059491,-23.1993885,-45.9387721,inside_urbanova_boundary,nao,130059491
Rua Vicente de Finis,rua vicente de finis,residential,130059496,-23.1986515,-45.9379424,inside_urbanova_boundary,nao,130059496
Rua Waldemar Anhaias,rua waldemar anhaias,residential,130059487,-23.1995338,-45.9394844,inside_urbanova_boundary,nao,130059487
